NumeroVuelo,AeropuertoOrigen,AeropuertoDestino,FechaDespegue,FechaAterrizaje
AR 1882,AEROPARQUE,USHUAIA,21/10/2022 03:55,21/10/2022 09:15
AR 1470,AEROPARQUE,JUJUY,21/10/2022 04:30,21/10/2022 06:45
AR 1416,AEROPARQUE,MENDOZA,21/10/2022 04:45,21/10/2022 06:40
AR 1863,USHUAIA,EL CALAFATE,21/10/2022 11:15,21/10/2022 12:35
AR 1861,EL CALAFATE,AEROPARQUE,21/10/2022 14:50,21/10/2022 17:45
AR 1417,MENDOZA,AEROPARQUE,21/10/2022 07:30,21/10/2022 09:05
AR 1475,JUJUY,AEROPARQUE,21/10/2022 10:10,21/10/2022 12:15
